Date,Open,High,Low,Close,CO1 Comdty - Open Interest,SMAVG (15),target_return,parkinson_var,target_vol_parkinson,sigmahat_pre_m,target_jump_flag
2018-05-12,61.35,63.29,60.8,61.56,374850.0,230216.0,-0.17277319192525997,0.0005810536890078717,0.02410505525834512,0.014952649518810266,1.0
2018-06-02,67.02,67.6,66.53,66.86,544513.0,337115.0,0.08258857202127423,9.181394974505751e-05,0.0095819595983837,0.01499498985913231,1.0
2018-06-03,65.74,66.16,65.3,65.79,498677.0,275047.0,-0.016133029894046302,6.174425810474256e-05,0.007857751466211092,0.014957974039619808,0.0
2018-06-04,68.09,68.62,66.86,67.11,593835.0,345012.0,0.019865213072241872,0.00024349966263818908,0.015604475724553807,0.014950600072693592,0.0
2018-06-06,75.19,76.25,74.46,75.36,499722.0,306983.0,0.1159435660979593,0.00020353415874646452,0.014266539830893283,0.01482484131849294,1.0
2018-06-07,77.57,77.68,76.36,77.11,474306.0,301329.0,0.022956343576761462,0.00010594406747999711,0.010292913459268815,0.014892178406547914,0.0
2018-06-08,73.21,74.47,73.08,73.75,418054.0,254479.0,-0.04455197862493954,0.00012804169289870124,0.01131555093217742,0.014886451345221504,0.0
2018-06-09,77.02,77.77,75.64,76.5,428388.0,242367.0,0.036609745612560474,0.00027815202424386054,0.016677890281563208,0.01462231195656889,0.0
2018-06-11,72.85,73.28,71.18,72.13,440090.0,290056.0,-0.05882069431690873,0.0003049152156717052,0.017461821659600845,0.014706982776208813,1.0
2018-06-12,61.36,61.97,58.36,60.06,358339.0,235260.0,-0.18312598396039714,0.0012992771544064938,0.0360454872960055,0.014793390413405853,1.0
2018-07-02,67.2,67.72,65.16,65.51,488637.0,342881.0,0.0868587401886014,0.0005356026408561049,0.02314309056405615,0.015453361007708673,1.0
2018-07-03,65.23,65.8,63.83,64.34,480678.0,286580.0,-0.018021280932905448,0.0003332443718088362,0.018254982109244484,0.01556283760328481,0.0
2018-07-05,75.0,76.34,74.83,76.17,558160.0,359741.0,0.1687861625738165,0.00014395478211364437,0.011998115773472281,0.015615745032381636,1.0
2018-07-06,75.88,77.45,75.44,77.32,480755.0,312485.0,0.014984969955433414,0.0002493782295424299,0.015791713952020215,0.015611608172474834,0.0
2018-07-08,73.61,74.9,73.57,74.65,406210.0,260112.0,-0.035142130354930856,0.0001157773589258566,0.010759988797664086,0.01570122119373788,0.0
2018-07-09,76.69,77.1,75.88,76.83,421386.0,251496.0,0.028784664894344836,9.175786531427897e-05,0.009579032587598759,0.015657184844027,0.0
2018-07-11,71.66,73.55,71.36,72.07,410028.0,291743.0,-0.06395731994319398,0.00032955825161361246,0.018153739328678607,0.015533240701161266,1.0
2018-07-12,60.25,63.73,59.1,61.67,354032.0,240911.0,-0.15584027993294836,0.002051819975654107,0.045297019500780696,0.01564045259746553,1.0
2018-08-01,67.8,67.99,67.44,67.78,570832.0,342383.0,0.09446957717550397,2.3794409758943643e-05,0.004877951389563414,0.016646694839184444,1.0
2018-08-02,65.28,65.6,64.1,64.81,457424.0,348044.0,-0.04480725373928074,0.00019298156877209306,0.013891780619204043,0.016324268528426947,0.0
2018-08-03,64.51,64.56,63.43,63.61,433554.0,296606.0,-0.018689221748911855,0.00011246099375308666,0.010604762786271395,0.016371258846195696,0.0
2018-08-05,75.6,76.18,73.1,74.85,513197.0,366891.0,0.16271542017492457,0.0006143218933906149,0.02478551781566435,0.016275348323673135,1.0
2018-08-06,77.39,77.61,76.12,76.46,466566.0,318966.0,0.02128161740262957,0.0001355367355315098,0.011642024546079165,0.01641937539051002,0.0
2018-08-08,74.64,74.87,71.65,72.28,399036.0,266358.0,-0.0562202625442394,0.0006969992729093302,0.0264007437946231,0.01640942493471458,1.0
2018-08-10,84.17,84.31,82.66,83.91,508873.0,314618.0,0.14919733015795078,0.00014089442468459836,0.011869895731833467,0.0166262897450606,1.0
2018-08-11,72.1,73.08,70.56,70.65,384383.0,292364.0,-0.17200668675144204,0.00044413393022174093,0.021074485289604133,0.01648076402315812,1.0
2018-09-01,68.0,69.29,67.7,68.82,537151.0,357719.0,-0.026243708761201745,0.00019437037053042811,0.013941677464725258,0.016507422169189528,0.0
2018-09-02,64.44,64.64,61.77,62.79,415345.0,352130.0,-0.09169857524331704,0.000743917450147916,0.027274850139788413,0.016560424517187096,1.0
2018-09-03,63.93,65.63,63.69,65.49,402202.0,305789.0,0.042101634103944185,0.00032472204315017966,0.018020045592344644,0.016771582314723435,0.0
2018-09-04,67.1,68.8,67.0,68.65,565866.0,360843.0,0.04712367298401876,0.000253495865507106,0.01592155348912618,0.016841821225972223,0.0
2018-09-05,76.19,77.43,76.08,77.21,494274.0,373887.0,0.11750785010674392,0.00011158122499923524,0.010563201455961882,0.016721355325706806,1.0
2018-09-07,77.21,78.31,77.04,78.07,458063.0,308737.0,0.01107687781147515,9.642259516345718e-05,0.009819500759379632,0.016724264764515478,0.0
2018-09-08,72.16,72.89,71.86,72.07,380452.0,272042.0,-0.07996799119584974,7.305105691574744e-05,0.008546991103057698,0.016677724128130164,1.0
2018-09-10,83.91,85.45,83.73,85.0,510411.0,329104.0,0.16501338755396677,0.00014912941666889997,0.012211855578449164,0.016589911921178004,1.0
2018-09-11,70.87,70.99,69.13,70.18,367649.0,294037.0,-0.19158788633524715,0.0002542442802992574,0.01594503936336494,0.016635942938866517,1.0
2018-10-01,69.12,69.37,68.75,69.2,503711.0,373935.0,-0.014062507531445334,2.9070373561998905e-05,0.005391694869148189,0.016702004197062414,0.0
2018-10-04,68.46,71.34,68.46,71.04,538820.0,376101.0,0.026242236060290303,0.0006124463762040665,0.02474765395353803,0.016610417457193015,0.0
2018-10-05,77.44,78.0,76.51,77.47,465255.0,381275.0,0.08664766595989626,0.00013417166729580267,0.011583249427332671,0.016887781919510896,1.0
2018-10-07,78.25,79.51,78.15,78.86,448633.0,316876.0,0.017783363805670582,0.00010735712088146143,0.010361328142736404,0.016866989419951458,0.0
2018-10-08,71.97,73.14,71.4,72.81,360464.0,278165.0,-0.07982082004286184,0.00020909271193320667,0.014460038448538326,0.016815378748174886,1.0
2018-10-09,77.08,77.92,76.9,77.37,411119.0,261402.0,0.06074580015474407,6.262292137430629e-05,0.007913464562017466,0.016866661801213996,1.0
2018-10-10,84.98,85.17,82.26,83.09,484386.0,344468.0,0.07132524911552629,0.0004358945454354252,0.020878087686266318,0.016859406965955833,1.0
2018-10-12,61.34,62.33,59.61,59.97,355816.0,247410.0,-0.32607992049647105,0.0007180654898544483,0.026796744015914475,0.016892512393567025,1.0
2018-11-01,69.15,70.05,69.0,69.26,465090.0,390548.0,0.14402310179385758,8.226737887343142e-05,0.009070136651309693,0.016887662920931888,1.0
2018-11-04,71.03,73.09,70.57,72.06,485704.0,389217.0,0.03963156634567078,0.0004440102509402192,0.021071550748348333,0.01691195231970614,0.0
2018-11-05,77.55,77.6,76.95,77.12,452840.0,391318.0,0.06786354498234282,2.551927634189518e-05,0.005051660750871457,0.017031649788312276,1.0
2018-11-06,76.3,76.84,75.52,76.46,460407.0,326296.0,-0.0085949220340229,0.00010829345409529355,0.010406414084366121,0.01693521608376748,0.0
2018-11-07,78.78,78.83,73.04,73.4,421191.0,324690.0,-0.04084379264779692,0.002098982295108893,0.0458146515332038,0.01689453207908582,0.0
2018-11-09,77.38,79.54,77.36,79.06,399601.0,271766.0,0.07428312224806977,0.00027854639173369134,0.01668970915665373,0.017887540079271118,1.0
2018-11-10,82.47,82.63,79.8,80.26,456089.0,360498.0,0.0150643069702312,0.00043802895715311217,0.02092914133817038,0.01787582554726248,0.0
2018-11-12,59.91,61.1,59.58,60.2,356064.0,253615.0,-0.28759901252399533,0.0002288953902146955,0.01512928915100427,0.017958594050759367,1.0
