Date,Return,sentiment_t_minus_1
11-06-2021,0.002341438,0.03296
14-06-2021,0.002335968,0.17967
15-06-2021,0.015390157,0.409183
16-06-2021,0.005391575,0.349629
17-06-2021,-0.017766793,0.188403
18-06-2021,0.00586672,-0.230139
21-06-2021,0.018732439,0.146437
22-06-2021,-0.001202325,0.131915
23-06-2021,0.005066678,0.17421
24-06-2021,0.004908799,0.247319
25-06-2021,0.008171918,0.052801
28-06-2021,-0.019886642,0.28625
29-06-2021,0.001070664,-0.061652
30-06-2021,0.004936964,0.06048
01-07-2021,0.009405912,0.026727
02-07-2021,0.004341826,0.089998
05-07-2021,0.012913504,0.135126
06-07-2021,-0.034679459,0.291328
07-07-2021,-0.014869157,0.369637
08-07-2021,0.00935283,0.121184
09-07-2021,0.019109287,-0.050613
12-07-2021,-0.005175514,0.190297
13-07-2021,0.017540839,-0.014064
14-07-2021,-0.022877031,0.160648
15-07-2021,-0.017405823,-0.255924
16-07-2021,0.001631987,-0.049496
19-07-2021,-0.06992511,-0.302697
20-07-2021,0.010582109,-0.406339
21-07-2021,0.040689325,-0.171883
22-07-2021,0.021367749,0.070421
23-07-2021,0.004192311,0.08374
26-07-2021,0.005383593,0.240955
27-07-2021,-0.000268492,-0.260999
28-07-2021,0.003484791,-0.026141
29-07-2021,0.017375595,-0.03711
30-07-2021,0.003675027,0.251925
02-08-2021,-0.04611459,0.198766
03-08-2021,-0.006607044,-0.117869
04-08-2021,-0.02843528,0.032133
05-08-2021,0.012846933,-0.194725
06-08-2021,-0.008310492,0.022165
09-08-2021,-0.023759526,0.153167
10-08-2021,0.022768937,-0.208627
11-08-2021,0.011402953,0.051274
12-08-2021,-0.001821367,-0.101733
13-08-2021,-0.010148079,-0.170292
16-08-2021,-0.015417864,0.328376
17-08-2021,-0.006929434,-0.126861
18-08-2021,-0.011656842,-0.172262
19-08-2021,-0.026434566,-0.024717
20-08-2021,-0.019297112,-0.38651
23-08-2021,0.053324063,0.149277
24-08-2021,0.032907118,0.042347
25-08-2021,0.016748472,0.276474
26-08-2021,-0.01646702,0.062468
27-08-2021,0.022676078,-0.086952
30-08-2021,0.009718782,0.075318
31-08-2021,-0.005737721,0.16216
01-09-2021,-0.019367046,-0.248089
02-09-2021,0.019914916,-0.125838
03-09-2021,-0.005767662,-0.098548
06-09-2021,-0.005385638,0.02935
07-09-2021,-0.007365748,-0.278716
08-09-2021,0.012613654,-0.1924
09-09-2021,-0.015967017,0.040276
10-09-2021,0.020365045,0.259399
13-09-2021,0.008058502,0.282843
14-09-2021,0.001223574,0.153603
15-09-2021,0.024957689,0.158736
16-09-2021,0.002779066,0.189424
17-09-2021,-0.004370578,-0.051096
20-09-2021,-0.019027775,0.13146
21-09-2021,0.005934736,-0.172668
22-09-2021,0.024312058,0.169973
23-09-2021,0.013816695,0.1011
24-09-2021,0.010815092,0.124135
27-09-2021,0.018272301,0.138285
28-09-2021,-0.005547864,0.206469
29-09-2021,-0.005705969,0.303164
30-09-2021,-0.001527106,-0.17067
01-10-2021,0.009632521,0.004833
04-10-2021,0.024668001,0.336751
05-10-2021,0.015871411,0.174725
06-10-2021,-0.01808898,0.25489
07-10-2021,0.010672984,0.090988
08-10-2021,0.005354765,0.001009
11-10-2021,0.015177357,0.202948
12-10-2021,-0.002753339,0.547814
13-10-2021,-0.002881154,0.170079
14-10-2021,0.009809865,-0.034934
15-10-2021,0.010186041,0.306301
18-10-2021,-0.006265166,0.339053
19-10-2021,0.008854317,0.086427
20-10-2021,0.008660089,0.212006
21-10-2021,-0.014199617,0.033933
22-10-2021,0.010814729,0.08032
25-10-2021,0.005363819,0.282014
26-10-2021,0.004756665,0.396349
27-10-2021,-0.021289844,0.200927
28-10-2021,-0.003078747,0.052721
29-10-2021,0.000711322,-0.189787
01-11-2021,0.003903252,0.338987
02-11-2021,0.000118043,0.143655
03-11-2021,-0.032754413,0.064202
04-11-2021,-0.017843333,-0.316117
05-11-2021,0.026949206,-0.083784
08-11-2021,0.008304796,0.094788
09-11-2021,0.016051709,0.298092
10-11-2021,-0.025565841,0.108878
11-11-2021,0.00277929,-0.015782
12-11-2021,-0.008482843,0.011231
15-11-2021,-0.001461454,0.102202
16-11-2021,0.004620631,-0.122338
17-11-2021,-0.026428924,-0.069232
18-11-2021,0.011887213,-0.17289
19-11-2021,-0.02935326,-0.447903
22-11-2021,0.010215109,-0.093289
23-11-2021,0.032223021,-0.126904
24-11-2021,-0.000729217,-0.415862
25-11-2021,-0.000364808,-0.4669
26-11-2021,-0.122782132,-0.314777
29-11-2021,0.009852296,-0.161643
30-11-2021,-0.039863621,0.119013
01-12-2021,-0.024384455,-0.199053
02-12-2021,0.011549139,0.152832
03-12-2021,0.003009676,-0.163013
06-12-2021,0.044775246,0.027622
07-12-2021,0.031782907,0.17459
08-12-2021,0.005024472,0.232506
09-12-2021,-0.018637387,0.061768
10-12-2021,0.009761393,0.03841
13-12-2021,-0.010164592,0.229132
14-12-2021,-0.009318725,-0.138444
15-12-2021,0.002439356,-0.277638
16-12-2021,0.015312589,-0.165188
17-12-2021,-0.020197267,0.266546
20-12-2021,-0.027580347,0.035804
21-12-2021,0.033817656,-0.454445
22-12-2021,0.017552537,0.007733
23-12-2021,0.020508146,0.181071
24-12-2021,-0.009281719,0.256041
27-12-2021,0.031797948,0.129639
28-12-2021,0.004316371,0.047676
29-12-2021,0.003666945,0.347832
30-12-2021,0.001135289,-0.023343
31-12-2021,-0.019605975,0.134879
03-01-2022,0.015310327,0.193289
04-01-2022,0.012831979,0.229012
05-01-2022,0.009950331,0.132636
06-01-2022,0.014620323,-0.015901
07-01-2022,-0.002931479,-0.07976
10-01-2022,-0.010822883,0.174773
11-01-2022,0.03463497,-0.11472
12-01-2022,0.01128345,0.187703
13-01-2022,-0.002364906,0.336209
14-01-2022,0.018648286,0.147026
17-01-2022,0.004868446,0.163948
18-01-2022,0.011839899,0.219475
19-01-2022,0.010571283,0.510989
20-01-2022,-0.000678656,0.368693
21-01-2022,-0.005559667,0.048763
24-01-2022,-0.018604119,0.248892
25-01-2022,0.02212505,0.072655
26-01-2022,0.019758164,-0.039138
27-01-2022,-0.006915811,0.282092
28-01-2022,0.007693632,-0.010357
31-01-2022,0.013021592,0.116324
01-02-2022,-0.022732032,0.363797
02-02-2022,0.003470865,0.135896
03-02-2022,0.018164194,0.084758
04-02-2022,0.023430945,-0.002536
07-02-2022,-0.006237921,0.182776
08-02-2022,-0.020821595,0.072513
09-02-2022,0.008446274,-0.132102
10-02-2022,-0.001530389,0.098283
11-02-2022,0.032609831,-0.031857
14-02-2022,0.021371021,0.101932
15-02-2022,-0.03373001,0.247485
16-02-2022,0.016269166,-0.164616
17-02-2022,-0.019598028,0.127696
18-02-2022,0.006112292,-0.133713
21-02-2022,0.019584599,0.202668
22-02-2022,0.015086381,0.127971
23-02-2022,0,0.329364
24-02-2022,0.022867473,0.229977
25-02-2022,-0.011674667,0.403478
28-02-2022,0.030768564,0.246175
01-03-2022,0.038653093,0.35502
02-03-2022,0.073093563,0.223129
03-03-2022,-0.022114693,0.290707
04-03-2022,0.066962929,0.290733
07-03-2022,0.042273823,0.230756
08-03-2022,0.037983785,0.437198
09-03-2022,-0.141083334,0.36316
10-03-2022,-0.016419836,0.101655
11-03-2022,0.030092361,0.006097
14-03-2022,-0.052569374,0.209617
15-03-2022,-0.067624037,-0.36136
16-03-2022,-0.019098241,0
17-03-2022,0.084287136,-0.067443
18-03-2022,0.012024193,0.355389
21-03-2022,0.068826083,0.398894
22-03-2022,-0.001211597,0.49636
23-03-2022,0.051639615,0.43924
24-03-2022,-0.021361407,0.411893
25-03-2022,0.01351823,0.039636
28-03-2022,-0.070118364,0.183601
29-03-2022,-0.020206336,0
30-03-2022,0.028793119,-0.137213
31-03-2022,-0.050064665,0.076801
01-04-2022,-0.033163661,-0.589776
04-04-2022,0.029635993,-0.008866
05-04-2022,-0.008311203,0.087293
06-04-2022,-0.05364533,0.051894
07-04-2022,-0.004859915,-0.205936
08-04-2022,0.021637351,-0.080575
11-04-2022,-0.0427373,0.146768
12-04-2022,0.060672406,-0.484396
13-04-2022,0.038801606,0.038713
14-04-2022,0.026489212,0.186211
18-04-2022,0.01298604,0.131387
19-04-2022,-0.053640189,0.084473
20-04-2022,-0.004204631,-0.059915
21-04-2022,0.014224197,-0.245507
22-04-2022,-0.015629679,-0.013517
25-04-2022,-0.041447288,0.067639
26-04-2022,0.02575995,-0.381435
27-04-2022,0.003138227,0.02394
28-04-2022,0.021324372,0.16283
29-04-2022,0.016134587,0.113299
02-05-2022,-0.016227537,0.013073
03-05-2022,-0.024560162,-0.081736
04-05-2022,0.048077689,-0.145069
05-05-2022,0.006876611,0.083584
06-05-2022,0.013346071,0.00368
09-05-2022,-0.059102069,0.256899
10-05-2022,-0.033400418,-0.282731
11-05-2022,0.048111388,-0.297175
12-05-2022,-0.000558243,0.139516
13-05-2022,0.037447298,-0.10703
16-05-2022,0.023828578,0.178479
17-05-2022,-0.020427823,0.020876
18-05-2022,-0.025517128,0.169522
19-05-2022,0.026499403,0.095973
20-05-2022,0.004541617,-0.105382
23-05-2022,0.007700175,0.134865
24-05-2022,0.001233589,0.035719
25-05-2022,0.00413024,-0.061366
26-05-2022,0.029125336,0.247744
27-05-2022,0.017143518,0.036846
30-05-2022,0.018582036,0.107333
31-05-2022,0.009570234,0.471639
01-06-2022,-0.054795624,0.338161
02-06-2022,0.011286995,0.097345
03-06-2022,0.017781617,-0.385883
06-06-2022,-0.001755633,0.142785
07-06-2022,0.008830447,0.233156
08-06-2022,0.024658223,0.115826
09-06-2022,-0.00413542,0.318125
10-06-2022,-0.008650291,0.020933
13-06-2022,0.002128706,0.312587
14-06-2022,-0.009037196,-0.086239
15-06-2022,-0.022197173,0.116974
16-06-2022,0.010909809,-0.079514
17-06-2022,-0.057457953,0.138822
20-06-2022,0.008888947,-0.036423
21-06-2022,0.00454586,-0.252429
22-06-2022,-0.025709265,0.080073
23-06-2022,-0.015239936,-0.431739
24-06-2022,0.027514394,-0.261717
27-06-2022,0.017265229,0.148976
28-06-2022,0.024800688,0.033752
29-06-2022,-0.014686056,0.15409
30-06-2022,-0.012550474,-0.192732
01-07-2022,-0.028088757,-0.307436
04-07-2022,0.016613006,0.0458
05-07-2022,-0.099309355,-0.219912
06-07-2022,-0.020446992,-0.31459
07-07-2022,0.038574959,-0.249644
08-07-2022,0.022394284,-0.034594
11-07-2022,0.000747245,0.177699
12-07-2022,-0.073705841,-0.328958
13-07-2022,0.000803778,-0.302286
14-07-2022,-0.004731473,-0.217003
15-07-2022,0.02057398,-0.186448
18-07-2022,0.049279604,0.04686
19-07-2022,0.010111499,0.258487
20-07-2022,-0.004013633,-0.141517
21-07-2022,-0.029037053,-0.063972
22-07-2022,-0.006374985,-0.2569
25-07-2022,0.018719049,0
26-07-2022,-0.007158227,-0.231907
27-07-2022,0.021041436,-0.144388
28-07-2022,0.004865279,0.030423
29-07-2022,0.02643488,0.084487
01-08-2022,-0.09510113,0.088685
02-08-2022,0.005085517,-0.177018
03-08-2022,-0.038115297,-0.214007
04-08-2022,-0.027869798,-0.502574
05-08-2022,0.008463868,-0.189587
08-08-2022,0.018061774,0.098759
