Date,Return
01-12-2020,-0.003578574
02-12-2020,0.017351747
03-12-2020,0.00948852
04-12-2020,0.01102502
07-12-2020,-0.009383994
08-12-2020,0.001024275
09-12-2020,0.000409417
10-12-2020,0.028051481
11-12-2020,-0.005587722
14-12-2020,0.006383425
15-12-2020,0.009302393
16-12-2020,0.006284388
17-12-2020,0.008188777
18-12-2020,0.014649452
21-12-2020,-0.026171892
22-12-2020,-0.016437641
23-12-2020,0.022117805
24-12-2020,0.001756269
28-12-2020,-0.008419041
29-12-2020,0.004512023
30-12-2020,0.004881392
31-12-2020,0.008919974
04-01-2021,-0.013801366
05-01-2021,0.047960285
06-01-2021,0.012975159
07-01-2021,0.001472212
08-01-2021,0.029176664
11-01-2021,-0.005911347
12-01-2021,0.01639381
13-01-2021,-0.00923302
14-01-2021,0.00640116
15-01-2021,-0.023673989
18-01-2021,-0.006372347
19-01-2021,0.020787011
20-01-2021,0.003214863
21-01-2021,0.00035657
22-01-2021,-0.01237573
25-01-2021,0.008446452
26-01-2021,0.000536721
27-01-2021,-0.00179019
28-01-2021,-0.00502965
29-01-2021,0.006283119
01-02-2021,0.008375706
02-02-2021,0.019506813
03-02-2021,0.017253706
04-02-2021,0.006479136
05-02-2021,0.008461719
08-02-2021,0.020350994
09-02-2021,0.008713578
10-02-2021,0.006201064
11-02-2021,-0.005382934
12-02-2021,0.020879613
15-02-2021,0.0138394
16-02-2021,0.000789578
17-02-2021,0.015506615
18-02-2021,-0.006392787
19-02-2021,-0.016083601
22-02-2021,0.036367644
23-02-2021,0.00199066
24-02-2021,0.025226019
25-02-2021,-0.002389487
26-02-2021,-0.011277467
01-03-2021,-0.037594937
02-03-2021,-0.015666117
03-03-2021,0.021614788
04-03-2021,0.040828238
05-03-2021,0.038505859
08-03-2021,-0.016279429
09-03-2021,-0.010607053
10-03-2021,0.005612184
11-03-2021,0.025159474
12-03-2021,-0.005905671
15-03-2021,-0.004923978
16-03-2021,-0.007139245
17-03-2021,-0.00571891
18-03-2021,-0.071938382
19-03-2021,0.019560908
22-03-2021,0.001393728
23-03-2021,-0.061098659
24-03-2021,0.057843599
25-03-2021,-0.038941292
26-03-2021,0.041422299
29-03-2021,0.006329624
30-03-2021,-0.013011336
31-03-2021,-0.009398565
01-04-2021,0.020561472
05-04-2021,-0.042680283
06-04-2021,0.009448385
07-04-2021,0.006671987
08-04-2021,0.000633112
09-04-2021,-0.003963541
12-04-2021,0.005228563
13-04-2021,0.006144171
14-04-2021,0.044690738
15-04-2021,0.005392464
16-04-2021,-0.002542818
19-04-2021,0.004184732
20-04-2021,-0.007184584
21-04-2021,-0.018955758
22-04-2021,0.00122399
23-04-2021,0.010797763
26-04-2021,-0.006982421
27-04-2021,0.011660615
28-04-2021,0.012716156
29-04-2021,0.018994902
30-04-2021,-0.019292256
03-05-2021,0.004599073
04-05-2021,0.019349768
05-05-2021,0.001160766
06-05-2021,-0.012696267
07-05-2021,0.002786538
10-05-2021,0.000585652
11-05-2021,0.003360857
12-05-2021,0.011170059
13-05-2021,-0.033294855
14-05-2021,0.024456139
17-05-2021,0.010856298
18-05-2021,-0.010856298
19-05-2021,-0.030289676
20-05-2021,-0.023526926
21-05-2021,0.020221137
24-05-2021,0.029950348
25-05-2021,0.002771499
26-05-2021,0.003199537
27-05-2021,0.008530378
28-05-2021,0.002444462
31-05-2021,-0.004462044
01-06-2021,0.013326843
02-06-2021,0.015537036
03-06-2021,-0.000560774
04-06-2021,0.008100603
07-06-2021,-0.005579593
08-06-2021,0.010159436
09-06-2021,0
10-06-2021,0.00414537
11-06-2021,0.002341438
14-06-2021,0.002335968
15-06-2021,0.015390157
16-06-2021,0.005391575
17-06-2021,-0.017766793
18-06-2021,0.00586672
21-06-2021,0.018732439
22-06-2021,-0.001202325
23-06-2021,0.005066678
24-06-2021,0.004908799
25-06-2021,0.008171918
28-06-2021,-0.019886642
29-06-2021,0.001070664
30-06-2021,0.004936964
01-07-2021,0.009405912
02-07-2021,0.004341826
05-07-2021,0.012913504
06-07-2021,-0.034679459
07-07-2021,-0.014869157
08-07-2021,0.00935283
09-07-2021,0.019109287
12-07-2021,-0.005175514
13-07-2021,0.017540839
14-07-2021,-0.022877031
15-07-2021,-0.017405823
16-07-2021,0.001631987
19-07-2021,-0.06992511
20-07-2021,0.010582109
21-07-2021,0.040689325
22-07-2021,0.021367749
23-07-2021,0.004192311
26-07-2021,0.005383593
27-07-2021,-0.000268492
28-07-2021,0.003484791
29-07-2021,0.017375595
30-07-2021,0.003675027
02-08-2021,-0.04611459
03-08-2021,-0.006607044
04-08-2021,-0.02843528
05-08-2021,0.012846933
06-08-2021,-0.008310492
09-08-2021,-0.023759526
10-08-2021,0.022768937
11-08-2021,0.011402953
12-08-2021,-0.001821367
13-08-2021,-0.010148079
16-08-2021,-0.015417864
17-08-2021,-0.006929434
18-08-2021,-0.011656842
19-08-2021,-0.026434566
20-08-2021,-0.019297112
23-08-2021,0.053324063
24-08-2021,0.032907118
25-08-2021,0.016748472
26-08-2021,-0.01646702
27-08-2021,0.022676078
30-08-2021,0.009718782
31-08-2021,-0.005737721
01-09-2021,-0.019367046
02-09-2021,0.019914916
03-09-2021,-0.005767662
06-09-2021,-0.005385638
07-09-2021,-0.007365748
08-09-2021,0.012613654
09-09-2021,-0.015967017
10-09-2021,0.020365045
13-09-2021,0.008058502
14-09-2021,0.001223574
15-09-2021,0.024957689
16-09-2021,0.002779066
17-09-2021,-0.004370578
20-09-2021,-0.019027775
21-09-2021,0.005934736
22-09-2021,0.024312058
23-09-2021,0.013816695
24-09-2021,0.010815092
27-09-2021,0.018272301
28-09-2021,-0.005547864
29-09-2021,-0.005705969
30-09-2021,-0.001527106
01-10-2021,0.009632521
04-10-2021,0.024668001
05-10-2021,0.015871411
06-10-2021,-0.01808898
07-10-2021,0.010672984
08-10-2021,0.005354765
11-10-2021,0.015177357
12-10-2021,-0.002753339
13-10-2021,-0.002881154
14-10-2021,0.009809865
15-10-2021,0.010186041
18-10-2021,-0.006265166
19-10-2021,0.008854317
20-10-2021,0.008660089
21-10-2021,-0.014199617
22-10-2021,0.010814729
25-10-2021,0.005363819
26-10-2021,0.004756665
27-10-2021,-0.021289844
28-10-2021,-0.003078747
29-10-2021,0.000711322
01-11-2021,0.003903252
02-11-2021,0.000118043
03-11-2021,-0.032754413
04-11-2021,-0.017843333
05-11-2021,0.026949206
08-11-2021,0.008304796
09-11-2021,0.016051709
10-11-2021,-0.025565841
11-11-2021,0.00277929
12-11-2021,-0.008482843
15-11-2021,-0.001461454
16-11-2021,0.004620631
17-11-2021,-0.026428924
18-11-2021,0.011887213
19-11-2021,-0.02935326
22-11-2021,0.010215109
23-11-2021,0.032223021
24-11-2021,-0.000729217
25-11-2021,-0.000364808
26-11-2021,-0.122782132
29-11-2021,0.009852296
30-11-2021,-0.039863621
01-12-2021,-0.024384455
02-12-2021,0.011549139
03-12-2021,0.003009676
06-12-2021,0.044775246
07-12-2021,0.031782907
08-12-2021,0.005024472
09-12-2021,-0.018637387
10-12-2021,0.009761393
13-12-2021,-0.010164592
14-12-2021,-0.009318725
15-12-2021,0.002439356
16-12-2021,0.015312589
17-12-2021,-0.020197267
20-12-2021,-0.027580347
21-12-2021,0.033817656
22-12-2021,0.017552537
23-12-2021,0.020508146
24-12-2021,-0.009281719
27-12-2021,0.031797948
28-12-2021,0.004316371
29-12-2021,0.003666945
30-12-2021,0.001135289
31-12-2021,-0.019605975
03-01-2022,0.015310327
04-01-2022,0.012831979
05-01-2022,0.009950331
06-01-2022,0.014620323
07-01-2022,-0.002931479
10-01-2022,-0.010822883
11-01-2022,0.03463497
12-01-2022,0.01128345
13-01-2022,-0.002364906
14-01-2022,0.018648286
17-01-2022,0.004868446
18-01-2022,0.011839899
19-01-2022,0.010571283
20-01-2022,-0.000678656
21-01-2022,-0.005559667
24-01-2022,-0.018604119
25-01-2022,0.02212505
