Date,Open,High,Low,Close,CO1 Comdty - Open Interest,SMAVG (15),,
17-11-2020,43.89,44.25,43.08,43.75,276760,336778,,-0.001598721
18-11-2020,43.75,44.89,43.48,44.34,272711,345077,,0.013395591
19-11-2020,43.96,44.57,43.79,44.2,251697,356826,,-0.003162415
20-11-2020,44.15,45.24,44.05,44.96,210553,366152,,0.017048417
23-11-2020,45.08,46.12,44.89,46.06,181411,344380,,0.024171689
24-11-2020,45.9,48.03,45.89,47.86,169046,322545,,0.038335188
25-11-2020,47.8,49.06,47.72,48.61,122534,298235,,0.015549189
26-11-2020,48.76,49.09,47.53,47.8,104182,274368,,-0.016803632
27-11-2020,47.81,48.44,47.34,48.18,50413,248161,,0.007918358
30-11-2020,47.91,47.99,46.85,47.59,66691,224745,,-0.012321342
01-12-2020,47.79,48.3,46.88,47.42,476525,231569,,-0.003578574
02-12-2020,47.05,48.76,46.82,48.25,477037,241000,,0.017351747
03-12-2020,48,48.94,47.67,48.71,469523,250338,,0.00948852
04-12-2020,48.96,49.92,48.84,49.25,462929,259446,,0.01102502
07-12-2020,49.23,49.43,48.4,48.79,447146,269277,,-0.009383994
08-12-2020,48.58,49,48.09,48.84,431421,279588,,0.001024275
09-12-2020,48.84,49.55,48.4,48.86,414300,289027,,0.000409417
10-12-2020,49,51.06,48.86,50.25,399809,298901,,0.028051481
11-12-2020,50.45,50.74,49.74,49.97,369865,309522,,-0.005587722
14-12-2020,50.05,50.8,49.13,50.29,347355,320585,,0.006383425
15-12-2020,50.3,50.89,49.78,50.76,337585,331821,,0.009302393
16-12-2020,50.64,51.2,50.34,51.08,320894,345045,,0.006284388
17-12-2020,51.12,51.9,51.08,51.5,288036,357302,,0.008188777
18-12-2020,51.43,52.48,51.13,52.26,243794,370194,,0.014649452
21-12-2020,52.22,52.32,49.2,50.91,211345,379838,,-0.026171892
22-12-2020,50.65,50.86,49.56,50.08,178792,359989,,-0.016437641
23-12-2020,49.7,51.59,49.2,51.2,135884,337245,,0.022117805
24-12-2020,51.11,51.77,50.62,51.29,128364,314501,,0.001756269
28-12-2020,51.25,52.02,50.53,50.86,105934,290702,,-0.008419041
29-12-2020,51.02,51.63,50.86,51.09,76543,265995,,0.004512023
30-12-2020,51.32,51.56,51.04,51.34,69295,241853,,0.004881392
31-12-2020,51.49,51.84,50.9,51.8,597646,254076,,0.008919974
04-01-2021,51.5,53.33,50.56,51.09,586077,266494,,-0.013801366
05-01-2021,50.95,53.9,50.7,53.6,577670,280348,,0.047960285
06-01-2021,53.52,54.73,53.02,54.3,550313,293878,,0.012975159
07-01-2021,54.13,54.9,53.94,54.38,545864,307763,,0.001472212
08-01-2021,54.56,56.36,54.34,55.99,520897,321097,,0.029176664
11-01-2021,56.24,56.39,54.99,55.66,490568,334599,,-0.005911347
12-01-2021,55.66,56.79,55.51,56.58,466845,349469,,0.01639381
13-01-2021,56.83,57.42,55.77,56.06,431472,364144,,-0.00923302
14-01-2021,55.93,56.57,55.24,56.42,424452,380522,,0.00640116
15-01-2021,56.41,56.5,54.64,55.1,404203,398410,,-0.023673989
18-01-2021,54.75,55.21,54.49,54.75,390965,415916,,-0.006372347
19-01-2021,55.01,56.08,54.89,55.9,358468,432752,,0.020787011
20-01-2021,56.07,56.64,55.66,56.08,315090,448655,,0.003214863
21-01-2021,55.82,56.24,55.49,56.1,270479,462067,,0.00035657
22-01-2021,56,56.03,54.48,55.41,225077,437229,,-0.01237573
25-01-2021,55.26,56.02,55.07,55.88,211639,412267,,0.008446452
26-01-2021,55.93,56.34,55.39,55.91,154489,384055,,0.000536721
27-01-2021,56.05,56.49,55.2,55.81,122352,355524,,-0.00179019
28-01-2021,55.41,56.59,55.31,55.53,55470,322831,,-0.00502965
29-01-2021,55.52,56.37,55.31,55.88,48249,291321,,0.006283119
01-02-2021,54.91,56.53,54.6,56.35,539484,294582,,0.008375706
02-02-2021,56.35,58.05,56.33,57.46,537998,299326,,0.019506813
03-02-2021,57.85,58.94,57.5,58.46,521834,305350,,0.017253706
04-02-2021,58.59,59.12,58.04,58.84,514071,311325,,0.006479136
05-02-2021,59.17,59.79,59.08,59.34,486461,316808,,0.008461719
08-02-2021,59.43,60.72,59.43,60.56,467407,321905,,0.020350994
09-02-2021,60.8,61.34,60.05,61.09,456449,328437,,0.008713578
10-02-2021,61.21,61.69,60.87,61.47,430805,336151,,0.006201064
11-02-2021,61.01,61.5,60.72,61.14,426886,346578,,-0.005382934
12-02-2021,60.82,62.83,60.35,62.43,415893,359299,,0.020879613
15-02-2021,62.83,63.76,62.82,63.3,399197,371803,,0.0138394
16-02-2021,63.47,63.7,62.69,63.35,374090,386443,,0.000789578
17-02-2021,63.15,64.96,62.73,64.34,346683,401398,,0.015506615
18-02-2021,65.02,65.52,63.22,63.93,287100,416840,,-0.006392787
19-02-2021,63.3,63.94,62.09,62.91,243370,429849,,-0.016083601
22-02-2021,62.68,65.85,62.55,65.24,221779,408668,,0.036367644
23-02-2021,65.51,66.79,64.47,65.37,169527,384103,,0.00199066
24-02-2021,65.06,67.31,64.8,67.04,132777,358166,,0.025226019
25-02-2021,67.2,67.7,66.48,66.88,75039,328898,,-0.002389487
26-02-2021,66.89,66.9,65.72,66.13,66631,300909,,-0.011277467
01-03-2021,64.85,65.93,63.17,63.69,663221,313963,,-0.037594937
02-03-2021,63.12,64.13,62.38,62.7,627917,325394,,-0.015666117
03-03-2021,62.38,64.7,62.38,64.07,609519,337309,,0.021614788
04-03-2021,64.1,67.75,63.33,66.74,583449,347746,,0.040828238
05-03-2021,67.16,69.69,66.67,69.36,569041,357956,,0.038505859
08-03-2021,69.97,71.38,67.8,68.24,550474,368041,,-0.016279429
09-03-2021,68.13,69.33,67.12,67.52,517217,377583,,-0.010607053
10-03-2021,67.46,68.42,66.5,67.9,475808,386191,,0.005612184
11-03-2021,68.45,69.84,67.99,69.63,466775,398170,,0.025159474
12-03-2021,69.59,69.9,69.03,69.22,428150,410488,,-0.005905671
15-03-2021,69.08,70.03,67.82,68.88,409207,422983,,-0.004923978
16-03-2021,68.81,68.94,67.36,68.39,402603,438522,,-0.007139245
17-03-2021,68.39,68.89,66.96,68,385091,455343,,-0.00571891
18-03-2021,67.77,68.15,61.45,63.28,323686,471919,,-0.071938382
19-03-2021,62.99,64.95,62.07,64.53,254042,484413,,0.019560908
22-03-2021,64.53,65.12,63.45,64.62,238393,456091,,0.001393728
23-03-2021,64.3,64.3,60.27,60.79,186889,426690,,-0.061098659
24-03-2021,60.5,64.57,60.47,64.41,167692,397234,,0.057843599
25-03-2021,63.99,64.19,60.98,61.95,152433,368500,,-0.038941292
26-03-2021,62.01,64.89,61.85,64.57,122276,338716,,0.041422299
29-03-2021,64.58,65.46,63.13,64.98,103614,308925,,0.006329624
30-03-2021,65.2,65.41,63.52,64.14,56778,278229,,-0.013011336
31-03-2021,64.13,64.79,63.53,63.54,54726,250157,,-0.009398565
01-04-2021,63.12,65.17,62.38,64.86,553818,255960,,0.020561472
05-04-2021,64.57,64.81,61.25,62.15,542134,263559,,-0.042680283
06-04-2021,62.32,64.28,62.08,62.74,529718,271593,,0.009448385
07-04-2021,62.6,63.55,61.6,63.16,515507,279120,,0.006671987
08-04-2021,63.02,63.43,62.38,63.2,513894,287707,,0.000633112
09-04-2021,63.28,63.49,62.57,62.95,490452,298824,,-0.003963541
12-04-2021,63.03,64.31,62.41,63.28,475944,313618,,0.005228563
13-04-2021,63.24,64.19,63.18,63.67,476195,329471,,0.006144171
14-04-2021,64.01,66.9,63.88,66.58,469412,348306,,0.044690738
15-04-2021,66.38,67.03,65.95,66.94,450764,367178,,0.005392464
16-04-2021,66.86,67.38,66.44,66.77,412500,384515,,-0.002542818
